Artifact ID,SVN Location,Github Response Code,Status,EOL
adapter-annotations,./tooling/maven/adapter-annotations/,200,,EOL
apache-sling-jar-resource-bundle,./tooling/maven/apache-sling-jar-resource-bundle/,200,,EOL
sling-archetype-parent,,,,EOL
sling-bundle-archetype,,,,EOL
htl-maven-plugin,./tooling/maven/htl-maven-plugin/,200,,EOL
ide-tooling,,,,EOL
sling-initial-content-archetype,,,,EOL
sling-jcrinstall-bundle-archetype,,,,EOL
jspc-maven-plugin,./tooling/maven/maven-jspc-plugin/,200,,EOL
launchpad-comparator,./tooling/release/launchpad-comparator/,200,,EOL
launchpad-debian,,,,EOL
launchpad-standalone-archetype,,,,EOL
launchpad-webapp-archetype,,,,EOL
maven-jcrocm-plugin,./tooling/maven/maven-jcrocm-plugin/,200,,EOL
maven-launchpad-plugin,./tooling/maven/maven-launchpad-plugin/,200,,EOL
maven-sling-plugin,./tooling/maven/maven-sling-plugin/,200,,EOL
org-apache-felix-framework,./launchpad/builder/target/slingstart-tmp/standalone/META-INF/maven/org.apache.felix/org.apache.felix.framework/,404,,EOL
org-apache-sling-adapter,./bundles/extensions/adapter/,200,,EOL
org-apache-sling-api,./bundles/api/,200,,EOL
org-apache-sling-auth-core,./bundles/auth/core/,200,,EOL
org-apache-sling-auth-form,./bundles/auth/form/,200,,EOL
org-apache-sling-auth-xing-api,./contrib/auth/org.apache.sling.auth.xing.api/,200,contrib,EOL
org-apache-sling-auth-xing-login,./contrib/auth/org.apache.sling.auth.xing.login/,200,contrib,EOL
org-apache-sling-auth-xing-oauth,./contrib/auth/org.apache.sling.auth.xing.oauth/,200,contrib,EOL
org-apache-sling-bnd-models,./tooling/bnd/models-bnd-plugin/,200,,EOL
org-apache-sling-bundleresource-impl,./bundles/extensions/bundleresource/,200,,EOL
org-apache-sling-caconfig-api,./bundles/extensions/caconfig/api/,200,,EOL
org-apache-sling-caconfig-bnd-plugin,./tooling/bnd/caconfig-bnd-plugin/,200,,EOL
org-apache-sling-caconfig-impl,./bundles/extensions/caconfig/impl/,200,,EOL
org-apache-sling-caconfig-integration-tests,./bundles/extensions/caconfig/integration-tests/,200,,EOL
org-apache-sling-caconfig-spi,./bundles/extensions/caconfig/spi/,200,,EOL
org-apache-sling-cassandra,./contrib/extensions/cassandra/,200,contrib,EOL
org-apache-sling-commons-cache,./contrib/extensions/cache/,404,contrib,EOL
org-apache-sling-commons-cache-api,./contrib/extensions/cache/api/,200,contrib,EOL
org-apache-sling-commons-cache-container-test,./contrib/extensions/cache/container-test/,200,contrib,EOL
org-apache-sling-commons-cache-ehcache,./contrib/extensions/cache/ehcache/,200,contrib,EOL
org-apache-sling-commons-cache-impl,./contrib/extensions/cache/impl/,200,contrib,EOL
org-apache-sling-commons-cache-infinispan,./contrib/extensions/cache/infinispan/,404,contrib,EOL
org-apache-sling-commons-cache-portal,./contrib/extensions/cache/portal/,200,contrib,EOL
org-apache-sling-commons-classloader,./bundles/commons/classloader/,200,,EOL
org-apache-sling-commons-compiler,./bundles/commons/compiler/,200,,EOL
org-apache-sling-commons-contentdetection,./bundles/commons/contentdetection/,200,,EOL
org-apache-sling-commons-fsclassloader,./bundles/commons/fsclassloader/,200,,EOL
org-apache-sling-commons-html,./contrib/commons/html/,200,contrib,EOL
org-apache-sling-commons-johnzon,./bundles/commons/johnzon/,200,,EOL
org-apache-sling-commons-log,./bundles/commons/log/,200,,EOL
org-apache-sling-commons-log-webconsole,./bundles/commons/log-webconsole/,200,,EOL
org-apache-sling-commons-logservice,./bundles/commons/logservice/,200,,EOL
org-apache-sling-commons-messaging,./bundles/commons/org.apache.sling.commons.messaging/,200,,EOL
org-apache-sling-commons-messaging-mail,./bundles/commons/org.apache.sling.commons.messaging.mail/,200,,EOL
org-apache-sling-commons-metrics,./bundles/commons/metrics/,200,,EOL
org-apache-sling-commons-metrics-rrd4j,./bundles/commons/metrics-rrd4j/,200,,EOL
org-apache-sling-commons-mime,./bundles/commons/mime/,200,,EOL
org-apache-sling-commons-osgi,./launchpad/builder/target/slingstart-tmp/standalone/META-INF/maven/org.apache.sling/org.apache.sling.commons.osgi/,200,,EOL
org-apache-sling-commons-scheduler,./bundles/commons/scheduler/,200,,EOL
org-apache-sling-commons-testing,./bundles/commons/testing/,200,,EOL
org-apache-sling-commons-threaddump,./bundles/commons/threaddump/,200,,EOL
org-apache-sling-commons-threads,./bundles/commons/threads/,200,,EOL
org-apache-sling-crankstart-launcher,./contrib/crankstart/launcher/,200,contrib,EOL
org-apache-sling-crankstart-test-model,,,,EOL
org-apache-sling-crankstart-test-services,./contrib/crankstart/test-services/,200,contrib,EOL
org-apache-sling-cransktart-test-model,./contrib/crankstart/test-model/,301,contrib,EOL
org-apache-sling-datasource,./contrib/extensions/datasource/,200,contrib,EOL
org-apache-sling-discovery-api,./bundles/extensions/discovery/api/,200,,EOL
org-apache-sling-discovery-base,./bundles/extensions/discovery/base/,200,,EOL
org-apache-sling-discovery-commons,./bundles/extensions/discovery/commons/,200,,EOL
org-apache-sling-discovery-impl,./bundles/extensions/discovery/impl/,200,,EOL
org-apache-sling-discovery-oak,./bundles/extensions/discovery/oak/,200,,EOL
org-apache-sling-discovery-standalone,./bundles/extensions/discovery/standalone/,200,,EOL
org-apache-sling-discovery-support,./bundles/extensions/discovery/support/,200,,EOL
org-apache-sling-distribution-api,./contrib/extensions/distribution/api/,200,contrib,EOL
org-apache-sling-distribution-avro-serializer,./contrib/extensions/distribution/avro-serializer/,200,contrib,EOL
org-apache-sling-distribution-core,./contrib/extensions/distribution/core/,200,contrib,EOL
org-apache-sling-distribution-it,./contrib/extensions/distribution/it/,200,contrib,EOL
